Business Name,Category,Area/Address,City,Phone,Google Rating,Google Reviews,Website,Instagram,Facebook,WhatsApp,Google Maps,Priority,Website Status,Contact Status,Follow-up Date,Notes
Lilax Beauty Clinic & Institute,Beauty Salon,"Block C, Main Double Road, PWD Housing Society",Islamabad,#ERROR!,5,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Lilax+Beauty+Clinic+Institute+PWD+Islamabad,A,New,New,,
Dr Feroze's Clear Skin Laser Clinic,Beauty / Clinic,"29-D, Civic Centre",Rawalpindi,#ERROR!,5,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Dr+Ferozes+Clear+Skin+Laser+Clinic+Rawalpindi,B,New,New,,Clinic rather than salon
Raha Beauty Salon Islamabad,Beauty Salon,"Main PWD Road, PWD Housing Society",Rawalpindi,#ERROR!,4.2,49,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Raha+Beauty+Salon+PWD+Rawalpindi,A,New,New,,
HsA Hair n Makeup Studio,Beauty Salon,"PWD Main Double Road, Sector A",Rawalpindi,Not found,5,8,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=HsA+Hair+Makeup+Studio+PWD+Rawalpindi,A,New,New,,Verify phone
Reforma Ladies Beauty Salon & Studio,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Reforma+Ladies+Beauty+Salon+Bahria+Town,A,New,New,,
Hair ART Salon & SPA,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Hair+ART+Salon+Spa+Bahria+Town,A,New,New,,
Noor E Ain,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Noor+E+Ain+Beauty+Salon+Bahria+Town,A,New,New,,
TGS Bahria Enclave,Beauty Salon,Bahria Enclave,Islamabad,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=TGS+Bahria+Enclave+Salon+Islamabad,B,New,New,,
Zulftarash Salon,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Zulftarash+Salon+Bahria+Town+Rawalpindi,A,New,New,,
Bitana's Salon,Beauty Salon,Bahria Town,Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Bitanas+Salon+Bahria+Town+Rawalpindi,A,New,New,,
Beauty Hut Salon,Beauty Salon,"House 1B, Lane 2, Main Tulsa Road, Lalazar",Rawalpindi,#ERROR!,Not checked,Not checked,Not checked,Yes,Yes,Yes,https://maps.app.goo.gl/bfQGUfeJCj58mZKA9,A,New,New,,"Public listing includes phone, WhatsApp and social links"
Hot Stone Spa & Saloon,Spa / Beauty,"Phase 4 Civic Center, Bahria Town",Rawalpindi,#ERROR!,4.6,Not checked,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Hot+Stone+Spa+Saloon+Phase+4+Bahria+Town,A,New,New,,
